"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"5106"	"5523"	"toi/nun"	"indeed now, therefore"	"indeed now, therefore, accordingly, well then."
"5107"	"5524"	"toio/sde, toia/de, toio/nde"	"of this kind, such"	"of this kind, such, such as follows."
"5108"	"5525"	"toiou=tos, toiau/th, toiou=to"	"of such a kind, such"	"of such a kind, such."
"5109"	"5526"	"toi=xos, ou, o("	"a wall"	"a wall."
"5110"	"5527"	"to/kos, ou, o("	"interest, usury"	"interest, usury."
"5111"	"5528"	"tolma/w"	"I dare, endure, am bold"	"I dare, endure, am bold, have courage, make up the mind."
"5112"	"5529,5530,5531"	"tolmhro/teron"	"more boldly"	"more boldly, more freely, with more confidence."
"5113"	"5532"	"tolmhth/s, ou=, o("	"a daring, presumptuous man"	"a daring, bold man."
"5114"	"5533"	"tomw/teros"	"sharper, keener"	"sharper, keener."
"5115"	"5534"	"to/con, ou, to/"	"a bow"	"a bow."
"5116"	"5535"	"topa/zion, ou, to/"	"topaz"	"topaz."
"5117"	"5536,4509"	"to/pos, ou, o("	"a place"	"a place, region, seat; an opportunity."
"5118"	"5537"	"tosou=tos, tosau/th, tosou=to"	"so great"	"so great, so large, so long, so many."
"5119"	"5538"	"to/te"	"then"	"then, at that time."
"5121"	"5539"	"tou)nanti/on"	"on the contrary"	"on the contrary, on the other hand."
"5122"	"5540"	"tou)/noma"	"by name"	"by name."
"5131"	"5543"	"tra/gos, ou, o("	"a he-goat"	"a he-goat."
"5132"	"5544"	"tra/peza, hs, h("	"a table for food or business"	"a table, (a) for food or banqueting, (b) for money-changing or business."
"5133"	"5545"	"trapezi/ths, ou, o("	"a money-changer, banker"	"a money-changer, banker."
"5134"	"5546"	"trau=ma, atos, to/"	"a wound"	"a wound."
"5135"	"5547"	"traumati/zw"	"I wound"	"I wound."
"5136"	"5548"	"traxhli/zw"	"I am laid bare, laid open"	"I am laid bare, laid open."
"5137"	"5549"	"tra/xhlos, ou, o("	"the neck"	"the neck."
"5138"	"5550"	"traxu/s, ei=a, u/"	"rough"	"rough, rugged, uneven."
"5139"	"5551"	"*traxwni=tis, idos, h("	"Trachonitis"	"Trachonitis, the north-east of the territory beyond Jordan."
"5140"	"5552"	"trei=s, tri/a"	"three"	"three."
"5141"	"5554"	"tre/mw"	"I tremble, am afraid"	"I tremble, am afraid."
"5142"	"5555"	"tre/fw"	"I feed, rear"	"I feed, nourish; I bring up, rear, provide for."
"5143"	"5556"	"tre/xw"	"I run, exercise myself"	"I run, exercise myself, make progress."
"5144"	"5558"	"tria/konta, oi(, ai(, ta/"	"thirty"	"thirty."
"5145"	"5559"	"triako/sioi, ai, a"	"three hundred"	"three hundred."
"5146"	"5560"	"tri/bolos, ou, o("	"a thistle"	"a thistle."
"5147"	"5561"	"tri/bos, ou, h("	"a worn path, beaten way"	"a worn path, beaten way, road, highway."
"5148"	"5562"	"trieti/a, as, h("	"a space of three years"	"a space of three years."
"5149"	"5563"	"tri/zw"	"I grate, gnash"	"I grate, gnash (as the teeth)."
"5150"	"5564"	"tri/mhnos, on"	"lasting three months"	"lasting three months."
"5151"	"5565"	"tri/s"	"three times"	"three times."
"5152"	"5566"	"tri/stegos, on"	"having three stories, the third story"	"having three stories; subst: the third story."
"5153"	"5567"	"trisxi/lioi, ai, a"	"three thousand"	"three thousand."
"5154"	"5568,5569"	"tri/tos, h, on"	"third"	"third."
"5155"	"5570"	"tri/xinos, h, on"	"made of hair"	"made of hair."
"5156"	"5571"	"tro/mos, ou, o("	"a trembling"	"a trembling, quaking, fear."
"5157"	"5572"	"troph/, h=s, h("	"a turning"	"a turning, change, mutation."
"5158"	"5573"	"tro/pos, ou, o("	"way, manner, character"	"(a) way, manner, (b) manner of life, character."
"5159"	"5574,5578"	"tropofore/w"	"I endure the ways of"	"I endure the ways of, put up with."
"5160"	"5575"	"trofh/, h=s, h("	"food, nourishment"	"food, nourishment, maintenance."
"5161"	"5576"	"*tro/fimos, ou, o("	"Trophimus"	"Trophimus, a Christian of Ephesus in Asia."
"5162"	"5577"	"trofo/s, ou=, h("	"a nurse"	"a nurse."
"5163"	"5579"	"troxia/, a=s, h("	"the track of a wheel, a path"	"the track of a wheel, a path."
"5164"	"5580"	"troxo/s, ou=, o("	"a wheel, course"	"a wheel, course."
"5165"	"5581"	"tru/blion, ou, to/"	"a platter"	"a deep dish, platter, bowl."
"5166"	"5582"	"truga/w"	"I gather"	"I gather (as of grapes), harvest."
"5167"	"5583"	"trugw/n, o/nos, h("	"a turtle-dove"	"a turtle-dove."
"5168"	"5584"	"trumalia/, a=s, h("	"the eye of a needle"	"the eye of a needle."
"5169"	"5557,5585"	"tru/phma, atos, to/"	"a hole, the eye of a needle"	"a hole; the eye of a needle."
"5170"	"5586"	"*tru/faina, hs, h("	"Tryphaena"	"Tryphaena, a Christian woman in Rome."
"5171"	"5587"	"trufa/w"	"I live a luxurious life"	"I live a luxurious life, live self-indulgently."
"5172"	"5588"	"trufh/, h=s, h("	"effeminate luxury"	"effeminate luxury, softness, indulgent living."
"5173"	"5589"	"*trufw=sa, hs, h("	"Tryphosa"	"Tryphosa, a Christian woman in Rome, perhaps a sister of Tryphaena."
"5174"	"5590"	"*trw|a/s, a/dos, h("	"Troas"	"Troas, a harbor city of Mysia."
"5175"	"5591"	"*trwgu/llion, ou, to/"	"Trogyllium"	"Trogyllium, a promontory somewhat to the south of Ephesus."
"5176"	"5592"	"trw/gw"	"I eat"	"I eat, partake of a meal."
"5177"	"5593"	"tugxa/nw"	"I obtain, I happen, perhaps"	"(a) gen: I obtain, (b) absol: I chance, happen; ordinary, everyday, it may chance, perhaps."
"5178"	"5594"	"tumpani/zw"	"I torture, break on the wheel"	"I torture, break on the wheel, beat to death."
"5179"	"5595,5596"	"tu/pos, ou, o("	"a figure, model, type"	"(originally: the mark of a blow, then a stamp struck by a die), (a) a figure; a copy, image, (b) a pattern, model, (c) a type, prefiguring something or somebody."
"5180"	"5597"	"tu/ptw"	"I beat, strike, wound, inflict punishment"	"I beat, strike, wound, inflict punishment."
"5181"	"5600"	"*tu/rannos, ou, o("	"Tyrannus"	"Tyrannus, an inhabitant of Ephesus, probably a rhetorician."
"5182"	"2571"	"turba/zw"	"I agitate or disturb in mind"	"I agitate or disturb in mind, trouble."
"5183"	"5601"	"*tu/rios, ou, o(, h("	"an inhabitant of Tyre"	"a Tyrian, an inhabitant of Tyre."
"5184"	"5602"	"*tu/ros, ou, h("	"Tyre"	"Tyre, an ancient city, the capital of Phoenicia."
"5185"	"5603"	"tuflo/s, h/, o/n"	"blind"	"blind, physically or mentally."
"5186"	"5604"	"tuflo/w"	"I make blind"	"I make blind, physically or mentally."
"5187"	"5605"	"tufo/w"	"I puff up, make haughty"	"I puff up, make haughty; pass: I am puffed up, am haughty."
"5188"	"5606"	"tu/fw"	"I raise smoke"	"I raise smoke, smolder."
"5189"	"5607"	"tufwniko/s, h/, o/n"	"violent, tempestuous"	"violent, tempestuous, stormy."
"5190"	"5608"	"*tuxiko/s, ou, o("	"Tychicus"	"Tychicus, a Christian of the Roman province Asia."
"5191"	"5610"	"u(aki/nqinos, i/nh, inon"	"dark purple"	"dark purple or blue, of the color of hyacinth."
"5192"	"5611"	"u(a/kinqos, ou, o("	"jacinth"	"jacinth, a precious stone of the color of hyacinth."
"5193"	"5612"	"u(a/linos, h, on"	"glassy, transparent"	"glassy, made of glass, transparent."
"5194"	"5613"	"u(/alos, ou, h("	"glass"	"glass, crystal, clear transparent stone."
"5195"	"5614"	"u(bri/zw"	"I insult"	"I insult, treat with insolence."
"5196"	"5615"	"u(/bris, ews, h("	"insult, damage, loss"	"(a) insult, injury, outrage, (b) damage, loss."
"5197"	"5616"	"u(bristh/s, ou=, o("	"an insolent, insulting man"	"an insolent, insulting, or violent man."
"5198"	"5617"	"u(giai/nw"	"I am well"	"I am well, am in good health; I am right, reasonable, sound, pure, uncorrupted."
"5199"	"5618"	"u(gih/s, e/s"	"sound, whole, wholesome"	"(a) sound, healthy, pure, whole, (b) wholesome."
"5200"	"5619"	"u(gro/s, a/, o/n"	"moist, green, full of sap"	"moist, green, full of sap."
"5201"	"5620"	"u(dri/a, as, h("	"a water pot"	"a water pot, jar, pitcher."
"5202"	"5621"	"u(dropote/w"	"I am a water drinker"	"I am only a water drinker."
"5203"	"5622"	"u(drwpiko/s, h/, o/n"	"afflicted with dropsy"	"afflicted with dropsy."
"5204"	"5623"	"u(/dwr, u(/datos, to/"	"water"	"water."
"5205"	"5624"	"u(eto/s, ou=, o("	"rain"	"rain."
"5206"	"5625"	"ui(oqesi/a, as, h("	"adoption"	"adoption, as a son into the divine family."
"5207"	"5626"	"ui(o/s, ou=, o("	"a son, descendent"	"a son, descendent."
"5208"	"5627"	"u(/lh, hs, h("	"wood, fuel"	"wood, fuel."
"5211"	"5628"	"*(ume/naios, ou, o("	"Hymenaeus"	"Hymenaeus."
"5212"	"5629"	"u(me/teros, a, on"	"your"	"your, yours."
"5214"	"5630"	"u(mne/w"	"I sing, sing hymns to"	"I sing, sing hymns to, praise."
"5215"	"5631"	"u(/mnos, ou, o("	"a hymn, sacred song"	"a hymn, sacred song, song of praise to God."
"5217"	"5632"	"u(pa/gw"	"I go away, depart"	"I go away, depart, begone, die."
"5218"	"5633"	"u(pakoh/, h=s, h("	"obedience"	"obedience, submissiveness, compliance."
"5219"	"5634"	"u(pakou/w"	"I listen, obey"	"I listen, hearken to, obey, answer."
"5220"	"5635"	"u(/pandros, on"	"subject to a husband, married"	"subject to a husband, married."
"5221"	"5636"	"u(panta/w"	"I meet"	"I meet, go to meet."
"5222"	"5637"	"u(pa/nthsis, ews, h("	"a meeting"	"a meeting."
"5223"	"5638"	"u(/parcis, ews, h("	"goods, substance, property"	"goods, substance, property, possessions."
"5224"	"5639"	"u(pa/rxonta"	"goods, property"	"things which one possesses, goods, property, belongings."
"5225"	"5639"	"u(pa/rxw"	"I am, exist, am in possession"	"I begin, am, exist, am in possession."
"5226"	"5640"	"u(pei/kw"	"I yield"	"I yield, submit to authority."
"5227"	"5641"	"u(penanti/os, a, on"	"opposite to, adverse"	"opposite to, adverse; subst: an adversary."
"5228"	"5642"	"u(pe/r"	"in behalf of, above"	"gen: in behalf of; acc: above."
"5229"	"5643"	"u(perai/rw"	"I raise beyond, uplift"	"lit: I raise beyond, uplift; mid: I lift myself up, exalt myself, am arrogant."
"5230"	"5644"	"u(pe/rakmos, on"	"past the bloom of youth"	"past the bloom of youth, of full age."
"5231"	"5645"	"u(pera/nw"	"far above"	"far above."
"5232"	"5647"	"u(perauca/nw"	"I increase exceedingly"	"I increase exceedingly or beyond measure."
"5233"	"5648"	"u(perbai/nw"	"I transgress, go beyond"	"I transgress; I go beyond, overreach, defraud."
"5234"	"5649"	"u(perballo/ntws"	"beyond measure"	"beyond measure."
"5235"	"5650"	"u(perba/llw"	"I surpass"	"I surpass, excel, exceed, transcend."
"5236"	"5651"	"u(perbolh/, h=s, h("	"surpassing excellence, exceedingly"	"excess, surpassing excellence, preeminence; adv: exceedingly."
"5237"	"4238,5653,5666"	"u(perei=don"	"I overlook"	"I overlook, take no notice of, disregard."
"5238"	"5654"	"u(pere/keina"	"beyond"	"beyond."
"5239"	"5657"	"u(perektei/nw"	"I over-stretch"	"I over-stretch, stretch out beyond the measure assigned to me."
"5240"	"5655,5656,5658"	"u(perekxu/nw"	"I pour out so that it overflows"	"I pour out so that it overflows."
"5241"	"5659"	"u(perentugxa/nw"	"I intercede for"	"I intercede for, make petition for."
"5242"	"5660"	"u(pere/xw"	"I excel, surpass"	"I excel, surpass, am superior."
"5243"	"5661"	"u(perhfani/a, as, h("	"pride, arrogance"	"pride, arrogance, disdain."
"5244"	"5662,5663"	"u(perh/fanos, on"	"proud, arrogant"	"proud, arrogant, disdainful."
"5245"	"5664"	"u(pernika/w"	"I am more than conqueror"	"I am more than conqueror, prevail mightily."
"5246"	"5665"	"u(pe/rogkos, on"	"immoderate, boastful"	"immoderate, boastful, excessive, pompous."
"5247"	"5667"	"u(peroxh/, h=s, h("	"superiority, excellence"	"superiority, excellence, preeminence, authority."
"5248"	"5668"	"u(perperisseu/w"	"I abound exceedingly, overflow"	"(a) intrans: I abound exceedingly, (b) dep: I overflow."
"5249"	"5669"	"u(perperissw=s"	"beyond measure"	"superabundantly, beyond measure."
"5250"	"5670"	"u(perpleona/zw"	"I am exceedingly abundant"	"I abound exceedingly, am exceedingly abundant."
"5251"	"5671"	"u(peruyo/w"	"I highly exalt"	"I highly exalt."
"5252"	"5672"	"u(perfrone/w"	"I have high notions"	"I have high notions, am over-proud."
"5253"	"5673"	"u(perw=|on, ou, to/"	"an upper room"	"an upper room, the upper part of a house."
"5254"	"5674"	"u(pe/xw"	"I submit to, undergo"	"I submit to, undergo, suffer."
"5255"	"5675"	"u(ph/koos, on"	"listening to, obedient"	"listening to, obedient, submissive."
"5256"	"5676"	"u(phrete/w"	"I minister to, serve"	"I minister to, serve."
"5257"	"5677"	"u(phre/ths, ou, o("	"a servant, an attendant"	"a servant, an attendant, (a) an officer, lictor, (b) an attendant in a synagogue, (c) a minister of the gospel."
"5258"	"5678"	"u(/pnos, ou, o("	"sleep"	"sleep; fig: spiritual sleep."
"5259"	"5679"	"u(po/"	"by, under, about"	"by, under, about."
"5260"	"5680"	"u(poba/llw"	"I suborn, instruct privately"	"I throw or put under; met: I subject, submit, suggest, whisper, prompt, suborn, instigate."
"5261"	"5681"	"u(pogrammo/s, ou=, o("	"a writing-copy, an example"	"a writing-copy, an example, pattern."
"5262"	"5682"	"u(po/deigma, atos, to/"	"a figure, copy, example"	"(a) a figure, copy, (b) an example, model."
"5263"	"5683,5684"	"u(podei/knumi"	"I show plainly, teach, warn"	"I indicate, intimate, suggest, show, prove."
"5264"	"5685"	"u(pode/xomai"	"I receive as a guest"	"I receive as a guest, entertain hospitably, welcome."
"5265"	"5686"	"u(pode/w"	"I put on my feet"	"(lit: I bind under), mid: I put on my feet, pass: I am shod."
"5266"	"5687"	"u(po/dhma, atos, to/"	"a sandal"	"a sandal; anything bound under."
"5267"	"5688"	"u(po/dikos, on"	"answerable to"	"answerable to, liable to (brought under) the judgment of."
"5268"	"5689"	"u(pozu/gion, ou, to/"	"a beast of burden, an ass or mule"	"a beast of burden, an ass or mule."
"5269"	"5690"	"u(pozw/nnumi"	"I under-gird"	"I under-gird, as to strengthen a ship against the waves."
"5270"	"5691"	"u(poka/tw"	"underneath"	"underneath, below, under."
"5271"	"5693"	"u(pokri/nomai"	"I act the part, pretend"	"I act the part, pretend; I answer, respond."
"5272"	"5694"	"u(po/krisis, ews, h("	"hypocrisy, dissembling"	"(lit: stage-playing), a response, answer, hypocrisy, dissembling."
"5273"	"5695"	"u(pokrith/s, ou=, o("	"a hypocrite, dissembler"	"(lit: a stage-player), a hypocrite, dissembler, pretender."
"5274"	"5696"	"u(polamba/nw"	"I take up, receive, answer, suppose, welcome"	"(a) I take up, (b) I welcome, entertain, (c) I answer, (d) I suppose, imagine."
"5275"	"5699"	"u(polei/pw"	"I leave behind"	"I leave behind; pass: I am left surviving."
"5276"	"5700"	"u(polh/nion, ou, to/"	"a pit under the wine-press"	"a wine-vat, pit under the wine-press dug in the ground."
"5277"	"0659,5701"	"u(polimpa/nw"	"I leave behind"	"I leave behind."
"5278"	"0670,5702"	"u(pome/nw"	"I remain behind, endure"	"(a) I remain behind, (b) I stand my ground, show endurance, (c) I endure, bear up against, persevere."
"5279"	"5703"	"u(pomimnh/|skw"	"I remind, remember"	"I remind; pass: I remember, call to mind."
"5280"	"5704"	"u(po/mnhsis, ews, h("	"remembrance"	"remembrance, recollection, putting in mind; a reminder."
"5281"	"5705"	"u(pomonh/, h=s, h("	"endurance, steadfastness"	"endurance, steadfastness, patient waiting for."
"5282"	"5706"	"u(ponoe/w"	"I conjecture, suppose"	"I conjecture, suppose, suspect, deem."
"5283"	"5707"	"u(po/noia, as, h("	"a supposition, suspicion"	"a supposition, suspicion."
"5284"	"5709"	"u(pople/w"	"I sail under"	"I sail under."
"5285"	"5710"	"u(popne/w"	"I blow gently"	"I blow gently."
"5286"	"5711"	"u(popo/dion, ou, to/"	"a footstool"	"a footstool."
"5287"	"5712"	"u(po/stasis, ews, h("	"assurance, substance, reality"	"(lit: an underlying), (a) confidence, assurance, (b) a giving substance (or reality) to, or a guaranteeing, (c) substance, reality."
"5288"	"5713"	"u(poste/llw"	"I draw back, conceal"	"I withdraw, draw back, keep back, shun, conceal."
"5289"	"5714"	"u(postolh/, h=s, h("	"a shrinking, drawing back"	"a shrinking, drawing back."
"5290"	"5715"	"u(postre/fw"	"I turn back, return"	"I turn back, return."
"5291"	"5716"	"u(postrwnnu/w"	"I spread under"	"I spread under, strew under."
"5292"	"5717"	"u(potagh/, h=s, h("	"subjection, submission"	"subjection, submission, obedience."
"5293"	"5718"	"u(pota/ssw"	"I place under, subject to"	"I place under, subject to; mid, pass: I submit, put myself into subjection."
"5294"	"5719"	"u(poti/qhmi"	"I lay down, suggest to"	"I put under, lay down, suggest to, put in mind."
"5295"	"5720"	"u(potre/xw"	"I run under shelter of"	"I run under shelter of."
"5296"	"5721"	"u(potu/pwsis, ews, h("	"a pattern, example"	"a pattern, example; a form, sample."
"5297"	"5722"	"u(pofe/rw"	"I endure, suffer"	"I bear up under, endure, suffer."
"5298"	"5723"	"u(poxwre/w"	"I withdraw, retire"	"I withdraw, retire, go back, retreat."
"5299"	"5708,5724"	"u(pwpia/zw"	"I bruise, worry, exhaust"	"I strike under the eye, hence: I bruise, treat severely, discipline by hardship, molest, annoy, harass, worry, exhaust."
"5300"	"5725"	"u(=s, u(o/s, h("	"a hog, boar, or sow"	"a hog, boar, or sow."
"5301"	"5727"	"u(/sswpos, ou, h("	"hyssop"	"hyssop, a stalk or stem of hyssop."
"5302"	"5728"	"u(stere/w"	"I am lacking, fall short, suffer need"	"I fall behind, am lacking, fall short, suffer need, am inferior to."
"5303"	"5729"	"u(ste/rhma, atos, to/"	"that which is lacking, poverty"	"(a) of things or persons: that which is lacking, a defect or shortcoming, (b) want, poverty."
"5304"	"5730"	"u(ste/rhsis, ews, h("	"poverty, want"	"poverty, want, need."
"5305"	"5731"	"u(/steron"	"lastly, afterward"	"lastly, afterward, later."
"5306"	"5731"	"u(/steros, a, on"	"later"	"later, latter, last."
"5307"	"5733"	"u(fanto/s, h/, o/n"	"woven"	"woven."
"5308"	"5734"	"u(yhlo/s, h/, o/n"	"high, lofty"	"high, lofty."
"5309"	"5735"	"u(yhlofrone/w"	"I am high-minded, proud"	"I am high-minded, proud."
"5310"	"5736"	"u(/yistos, h, on"	"highest, most high, the heights"	"highest, most high, the heights."
"5311"	"5737"	"u(/yos, ous, to/"	"height, heaven"	"height, heaven; dignity, eminence."
"5312"	"5738"	"u(yo/w"	"I lift up, exalt"	"(a) I raise on high, lift up, (b) I exalt, set on high."
"5313"	"5739"	"u(/ywma, atos, to/"	"height, barrier, bulwark"	"height, barrier, bulwark; presumption."
"5314"	"5741"	"fa/gos, ou, o("	"a glutton"	"a glutton."
"5315"	"2266"	"fa/gw"	"I eat"	"I eat, partake of food; met: I devour, consume (e.g. as rust does); used only in fut. and 2nd aor. tenses."
"5316"	"5743"	"fai/nw"	"I shine, appear, seem"	"(a) act: I shine, shed light, (b) pass: I shine, become visible, appear, (c) I become clear, appear, seem, show myself as."
